route_length,traffic_score,vehicle_type,delivery_count,co2_kg
13.61,6,mini_truck,31,7.59
6.19,6,van,51,8.91
18.01,5,two_wheeler,8,2.9
9.8,9,mini_truck,17,5.02
29.15,1,two_wheeler,21,5.61
9.14,7,van,14,3.76
8.39,4,two_wheeler,32,5.63
20.25,5,mini_truck,60,13.15
18.89,10,two_wheeler,45,9.25
13.29,8,ev,27,5.13
8.67,3,van,24,4.87
15.1,4,two_wheeler,112,19.77
6.42,2,mini_truck,10,2.57
47.82,4,two_wheeler,38,10.73
12.09,2,ev,34,5.92
11.75,5,mini_truck,28,6.54
14.36,6,van,53,9.2
25.97,1,two_wheeler,23,5.52
8.45,4,two_wheeler,17,3.33
21.85,9,mini_truck,33,9.75
11.36,2,truck_cng,22,5.85
20.24,1,truck_diesel,6,5.61
0.59,3,truck_diesel,33,5.29
6.9,4,two_wheeler,21,3.74
6.52,5,van,14,3.07
16.21,8,van,24,6.81
13.07,6,two_wheeler,38,6.69
3.83,4,van,24,3.84
6.81,2,ev,18,2.86
12.62,8,van,18,5.1
6.68,8,van,40,7.48
18.49,4,van,64,13.41
9.01,9,truck_diesel,27,6.57
8.52,8,van,57,9.03
17.55,8,two_wheeler,6,2.9
13.85,2,two_wheeler,60,10.41
19.02,8,two_wheeler,50,9.55
2.47,1,van,30,4.59
28.43,9,mini_truck,30,12.05
10.57,3,truck_cng,25,5.7
31.5,10,two_wheeler,37,9.07
13.82,8,van,29,6.96
7.05,3,ev,31,5.18
30.61,9,ev,36,7.98
1.85,7,van,16,2.62
11.26,5,two_wheeler,32,5.76
29.56,10,truck_diesel,25,15.83
6.79,3,truck_diesel,24,5.66
10.15,7,mini_truck,23,5.46
17.1,7,van,8,3.95
27.3,10,truck_diesel,40,17.05
5.25,4,two_wheeler,16,2.94
19.09,3,van,20,5.58
7.87,5,two_wheeler,17,3.37
18.47,2,two_wheeler,16,3.88
51.27,6,two_wheeler,15,7.77
10.82,7,truck_cng,5,3.6
16.47,9,truck_cng,17,7.01
8.91,3,ev,10,1.93
55.54,8,two_wheeler,4,6.87
7.63,2,truck_diesel,35,6.89
21.48,6,mini_truck,41,10.77
