route_length,traffic_score,vehicle_type,delivery_count,co2_kg
12.83,7,two_wheeler,32,1.57
19.26,4,ev,50,1.32
14.38,6,two_wheeler,23,1.61
29.71,5,two_wheeler,35,3.27
5.19,8,two_wheeler,14,0.63
9.09,3,two_wheeler,12,0.81
8.42,2,ev,18,0.45
18.05,2,mini_truck,40,3.38
16.69,1,van,36,2.39
24.46,4,two_wheeler,31,2.5
28.14,2,mini_truck,18,4.86
6.38,3,ev,54,0.42
11.29,2,van,10,1.58
18.36,6,van,20,3.46
9.78,8,two_wheeler,13,1.17
22.82,6,mini_truck,19,5.12
7.22,6,two_wheeler,40,0.86
8.12,6,two_wheeler,8,0.86
20.52,5,ev,14,1.32
15.81,1,van,26,2.18
28.58,8,van,17,5.92
13.53,5,van,30,2.49
5.46,7,ev,36,0.43
8.09,9,mini_truck,14,2.08
23.26,8,van,19,4.86
6.85,6,van,29,1.33
6.94,10,mini_truck,21,1.92
10.76,1,two_wheeler,59,0.98
16.09,3,van,15,2.47
2.1,1,van,35,0.3
29.21,6,ev,11,1.97
38.22,10,mini_truck,9,10.12
28.39,7,two_wheeler,57,3.77
3.13,5,van,35,0.59
13.66,6,van,20,2.57
18.32,4,two_wheeler,58,2.05
8.91,7,mini_truck,47,2.33
13.32,6,van,35,2.65
15.81,9,two_wheeler,32,2.14
6.98,4,ev,36,0.46
19.49,1,van,12,2.55
15.32,3,two_wheeler,12,1.37
19.67,5,two_wheeler,14,2.01
0.98,8,van,24,0.21
9.1,1,ev,14,0.45
5.31,6,two_wheeler,21,0.59
4.54,2,mini_truck,6,0.75
4.53,2,two_wheeler,19,0.39
13.22,8,ev,32,1.07
15.98,5,van,7,2.7
8.98,8,van,26,1.92
6.71,3,two_wheeler,32,0.64
14.93,6,van,42,3.04
18.12,10,ev,18,1.54
15.23,8,van,43,3.46
31.45,1,two_wheeler,34,2.62
4.76,7,van,25,0.96
30.52,4,van,24,5.17
27.16,1,two_wheeler,55,2.43
10.05,6,ev,14,0.69
5.28,5,mini_truck,38,1.2
10.83,10,mini_truck,12,2.9
28.91,1,two_wheeler,13,2.23
14.04,7,two_wheeler,15,1.61
16.82,10,ev,19,1.43
9.11,9,ev,25,0.76
13.76,8,van,40,3.1
26.37,3,two_wheeler,8,2.31
8.45,7,ev,27,0.64
14.84,1,mini_truck,8,2.29
6.48,9,van,40,1.53
3.42,6,two_wheeler,14,0.37
9.86,1,two_wheeler,38,0.83
26.26,10,two_wheeler,24,3.61
14.57,7,van,18,2.88
25.04,8,ev,29,2.01
30.3,9,ev,22,2.49
5.84,8,mini_truck,30,1.52
5.69,8,mini_truck,19,1.42
15.35,4,two_wheeler,14,1.47
13.85,10,mini_truck,31,3.98
35.03,9,mini_truck,27,9.46
14.61,6,mini_truck,34,3.46
14.46,8,van,57,3.45
16.43,9,two_wheeler,60,2.44
4.53,9,mini_truck,41,1.29
20.23,7,two_wheeler,21,2.37
1.11,7,two_wheeler,27,0.13
10.44,3,mini_truck,26,1.99
21.74,8,two_wheeler,12,2.6
12.14,1,mini_truck,29,2.02
11.76,8,two_wheeler,17,1.43
18.88,5,two_wheeler,21,1.98
11.03,1,two_wheeler,20,0.87
5.06,3,two_wheeler,22,0.47
4.29,6,ev,87,0.37
15.07,7,ev,35,1.17
21.91,6,van,20,4.12
27.32,10,van,20,6.31
12.43,5,two_wheeler,22,1.31
6.83,4,two_wheeler,24,0.68
7.9,8,van,30,1.72
5.98,9,ev,32,0.51
12.35,8,ev,21,0.96
2.86,10,van,52,0.74
18.37,7,ev,10,1.3
