energy_kwh,machine_runtime_hours,furnace_usage,cooling_load,shift_hours,co2_kg
2307.86,4.69,2.5,248.53,8,1253.1
8825.3,16.74,2.43,188.73,24,5968.51
3232.3,6.48,0.78,82.53,8,1419.75
7248.62,7.59,0.53,57.86,8,3936.87
8507.66,10.77,0.19,201.69,12,4433.95
6051.58,19.55,0.48,224.17,24,3986.28
1958.33,10.66,0.7,318.0,12,1156.09
2765.27,6.16,0.35,379.46,8,1423.89
5192.5,4.21,4.86,217.75,8,2673.46
5549.65,10.17,0.16,251.01,12,3059.23
3375.93,6.09,4.07,331.04,8,1868.26
3276.02,6.45,3.06,128.82,8,1720.19
4235.54,14.57,0.32,298.59,24,2921.36
3307.21,7.77,2.25,282.87,8,1718.18
12931.29,20.02,1.41,496.39,24,7501.17
5601.52,14.46,2.05,276.26,24,3817.71
4381.01,7.6,3.99,261.45,8,2227.25
8879.95,21.78,1.36,138.78,24,5696.72
17411.8,12.31,3.2,46.53,24,11728.9
3932.96,6.16,0.0,295.66,12,2198.84
3343.56,11.05,3.38,298.61,16,2192.11
6136.18,7.85,8.91,220.63,8,3097.51
7226.29,8.89,0.26,78.47,16,3985.57
2769.43,8.1,1.05,340.9,12,1627.64
4106.75,8.34,1.7,413.28,16,2267.09
3696.4,6.24,0.17,559.05,8,1873.13
13238.86,14.49,2.03,75.27,16,7479.42
3487.73,9.46,1.72,144.14,12,2008.11
5296.46,9.28,0.42,783.23,12,3093.11
4984.53,12.53,3.41,360.23,24,3608.04
3115.01,6.68,1.7,465.64,8,1624.62
5462.51,15.89,0.05,27.41,24,3711.06
14241.23,8.55,0.11,363.41,12,7773.47
6095.94,9.46,2.5,323.09,16,3879.93
8967.35,13.28,0.2,119.29,16,4918.93
19422.71,18.64,0.65,174.11,24,11978.48
10070.09,13.67,1.18,362.23,24,5953.49
6865.11,13.63,1.92,235.71,16,4262.45
10961.22,22.93,0.95,211.42,24,6846.91
6765.23,15.84,2.5,213.66,16,3829.09
13870.37,20.97,0.46,315.83,24,8833.58
5793.79,10.02,1.02,200.59,16,3392.11
4893.88,7.01,1.19,370.21,8,2405.11
12159.47,8.14,0.12,347.56,16,6730.46
4656.38,9.66,0.46,130.44,12,2476.3
3313.79,10.41,0.28,116.36,16,1944.29
2198.8,7.95,1.03,398.32,8,1249.7
2308.31,4.68,7.5,659.29,8,1544.67
4764.09,6.34,3.88,530.66,8,2642.64
8935.43,21.32,0.62,434.53,24,5961.64
9213.4,14.04,0.74,393.72,24,6106.03
9230.12,12.55,0.69,213.56,16,5288.98
13124.55,9.41,4.56,347.91,16,7389.34
3769.89,6.23,1.06,584.38,8,2264.22
6158.33,6.87,5.23,317.74,8,3370.79
5816.8,6.23,0.28,142.26,8,2959.31
5843.18,4.09,0.61,357.23,8,2950.4
8094.53,20.72,0.72,241.39,24,5047.79
5722.96,7.79,0.78,445.28,12,3209.84
12791.09,17.86,0.32,237.84,24,7950.89
7335.07,11.24,2.02,312.33,16,4216.73
11485.31,9.09,1.39,92.86,16,6474.78
9836.69,12.07,0.73,197.63,24,6340.08
5861.89,5.29,0.2,154.91,8,2516.37
4259.18,6.39,0.73,494.68,12,2300.16
5259.87,11.98,0.99,170.78,12,2814.24
3074.65,22.53,0.2,297.52,24,2258.3
3721.57,4.74,2.77,85.66,8,1771.99
2058.31,5.98,0.72,394.82,8,1156.26
6929.92,7.71,0.49,165.54,8,3428.23
2789.34,7.12,1.26,76.23,12,1401.08
14522.92,13.22,0.94,273.29,24,9848.65
8102.2,7.87,0.92,66.76,8,3953.57
6737.95,8.46,1.5,599.51,16,3788.2
7873.21,13.37,0.15,318.38,24,5008.99
10638.18,18.46,1.47,409.26,24,6675.2
2424.43,7.82,0.78,412.17,8,1374.59
28418.42,20.01,0.15,291.34,24,17846.33
