energy_kwh,machine_runtime_hours,furnace_usage,cooling_load,shift_hours,co2_kg
10030.67,9.08,0.65,805.21,16,5919.0
10221.23,12.86,0.8,49.04,16,5693.75
4119.83,5.32,1.02,256.73,8,2077.57
6477.18,4.08,0.0,100.17,8,3115.26
8052.42,6.65,0.32,346.88,12,4286.28
5721.16,7.13,0.24,94.58,12,2982.71
13302.61,21.95,1.12,119.12,24,8496.76
3885.3,5.07,1.11,553.02,8,2082.25
7257.02,19.46,0.18,363.89,24,4750.21
13377.93,12.98,0.85,169.73,24,8546.74
3551.22,4.44,0.44,139.66,8,1749.93
8803.45,10.97,0.59,713.87,16,5199.08
744.59,4.23,1.03,347.82,8,509.6
4411.06,20.93,0.47,19.26,24,2815.38
3444.71,7.19,1.39,577.44,12,2055.44
11667.63,20.73,0.52,675.42,24,7703.4
4409.24,6.36,0.07,295.03,12,2386.94
14595.14,12.35,6.84,209.99,24,9838.81
7190.26,13.28,6.45,211.99,16,4377.57
10880.08,10.25,2.44,73.4,16,6149.03
4451.36,10.84,1.5,274.88,16,2649.97
5298.7,5.03,0.2,638.69,8,2766.96
11955.34,15.65,1.61,331.86,16,6815.73
10951.4,13.07,1.43,134.94,24,7056.62
9285.42,21.38,5.21,456.77,24,6496.01
15249.61,23.46,0.58,353.76,24,9790.33
7535.22,13.65,0.32,191.17,16,4253.23
11037.92,6.91,0.01,271.05,12,5775.6
7348.48,20.75,0.81,465.42,24,4912.72
7095.3,7.05,0.3,283.23,12,3768.15
10390.66,9.2,0.35,515.53,16,5973.08
4972.97,8.83,1.1,352.26,16,2952.17
10152.73,23.38,0.83,362.1,24,6619.92
19863.8,18.35,1.19,214.98,24,12664.73
8736.54,6.14,0.49,329.77,12,4635.85
8100.09,16.65,1.52,349.42,24,5385.62
10624.42,14.92,1.62,311.35,16,6073.53
8570.5,9.49,1.64,269.59,12,4565.66
12208.25,11.14,0.7,284.59,16,6888.49
13352.42,12.42,1.67,123.34,24,8576.44
11299.9,15.92,0.01,1096.78,16,6716.4
3002.71,7.4,2.63,18.27,8,1489.66
5846.94,7.85,0.57,325.96,12,3154.78
4600.91,14.54,5.02,246.32,16,2894.74
13983.23,16.75,0.43,108.34,24,8859.12
6261.67,6.28,0.77,881.17,12,3605.29
14890.39,20.82,1.97,138.83,24,9573.9
13636.02,22.95,0.45,728.25,24,8958.27
5314.91,10.46,0.13,795.59,12,3061.74
4898.12,10.87,0.5,404.36,12,2698.32
9519.47,8.71,2.59,258.98,16,5489.9
6986.61,11.58,1.84,335.53,12,3787.64
8288.79,13.39,2.66,551.32,16,4945.89
11069.91,6.83,0.53,102.24,12,5739.64
6785.21,16.75,2.3,355.33,24,4629.79
7314.22,12.64,0.14,399.39,16,4215.52
17555.86,23.13,0.09,335.96,24,11185.53
4433.55,7.61,1.12,568.11,8,2348.65
11429.06,22.08,0.95,222.15,24,7359.49
18822.26,21.37,2.84,204.07,24,12146.2
4106.12,4.59,0.45,173.64,8,2026.91
7041.17,11.17,0.63,208.47,12,3720.53
10448.55,9.14,0.17,811.2,16,6127.87
4854.92,5.92,1.96,255.65,8,2446.51
3192.5,7.39,0.92,531.46,8,1740.79
3880.24,7.31,1.53,332.83,8,2003.98
3671.07,6.85,2.39,165.62,8,1858.8
4053.58,12.61,0.03,207.89,16,2327.76
9507.43,20.4,1.67,162.41,24,6185.3
8691.26,10.33,0.59,181.1,16,4899.2
6982.97,9.87,0.69,182.77,16,3963.6
12615.24,8.99,3.27,332.2,16,7261.97
5372.68,8.2,0.08,75.46,12,2790.2
1517.23,4.34,3.36,409.77,8,950.43
4980.24,7.22,2.71,105.0,8,2464.23
5818.58,9.67,0.14,106.18,12,3033.85
2873.15,10.97,2.6,682.84,12,1848.21
11324.95,13.2,1.92,131.31,16,6394.39
1418.45,5.57,0.94,140.52,8,748.02
6336.82,15.45,1.7,174.74,16,3653.95
4896.35,9.26,2.96,370.0,16,3010.49
16741.56,19.24,3.47,130.86,24,10857.66
5464.0,8.84,1.22,99.93,12,2887.11
5912.53,11.09,0.7,312.97,12,3187.54
8307.14,12.13,0.45,595.43,16,4865.33
11024.95,7.25,0.58,89.24,12,5713.17
17094.37,14.24,0.37,420.71,24,10963.05
8052.51,23.84,0.11,280.89,24,5201.28
3529.2,4.0,1.02,112.26,8,1741.54
1818.01,6.69,0.32,57.68,8,892.71
8560.74,20.18,3.28,74.35,24,5683.82
6110.49,9.13,0.06,285.31,16,3497.06
