distance_km,load_kg,vehicle_type,fuel_type,avg_speed,stop_events,co2_kg
119.68,734.16,mini_truck,cng,53.58,1,15.77
55.9,883.15,mini_truck,electric,46.43,1,2.43
147.93,261.6,van,cng,57.14,4,17.87
89.63,1171.79,mini_truck,electric,66.69,2,4.11
27.61,615.87,van,petrol,48.08,1,4.4
137.03,718.83,van,electric,53.27,3,5.5
107.54,209.83,two_wheeler,diesel,63.73,2,10.52
40.05,657.88,mini_truck,diesel,52.33,0,7.06
147.55,1665.33,ev,cng,60.42,4,8.7
21.2,1427.1,ev,cng,79.34,1,1.42
49.82,654.89,truck_cng,cng,43.39,0,7.59
67.75,1047.74,ev,diesel,41.95,2,4.58
37.43,462.67,two_wheeler,electric,58.86,1,1.13
10.71,787.08,two_wheeler,petrol,45.11,0,0.87
71.52,957.01,van,electric,51.79,1,2.57
108.5,789.33,two_wheeler,diesel,40.14,0,9.0
249.17,1308.82,truck_diesel,electric,39.07,5,21.47
147.65,335.82,truck_cng,diesel,50.13,5,32.28
129.9,1556.63,van,electric,27.25,4,7.28
93.44,792.33,van,hybrid,48.06,3,10.01
333.07,874.18,van,hybrid,68.66,9,37.03
82.59,897.05,truck_cng,diesel,53.09,3,19.5
35.84,541.76,mini_truck,diesel,71.44,1,6.78
131.42,378.92,mini_truck,petrol,68.24,2,22.48
47.27,224.46,truck_cng,petrol,46.66,1,9.51
17.74,2234.57,mini_truck,hybrid,57.25,0,2.34
9.55,1027.39,truck_cng,hybrid,73.16,0,1.33
243.47,489.75,mini_truck,electric,35.38,3,10.7
259.31,511.91,mini_truck,diesel,36.09,8,62.11
68.93,2112.17,truck_cng,diesel,86.7,0,15.84
83.45,1230.41,mini_truck,diesel,60.16,3,17.97
118.42,1051.32,mini_truck,cng,59.21,0,15.74
154.51,593.32,two_wheeler,electric,39.36,1,3.89
115.78,762.05,truck_diesel,diesel,45.77,3,35.91
143.06,369.78,van,diesel,50.11,2,25.48
59.5,1385.38,truck_cng,cng,42.2,0,9.8
178.93,2376.27,two_wheeler,hybrid,59.87,7,14.88
154.62,690.88,van,cng,70.91,4,19.27
73.2,2101.68,mini_truck,petrol,44.13,1,13.04
233.89,1054.01,two_wheeler,cng,62.39,5,17.42
