distance_km,load_kg,vehicle_type,fuel_type,avg_speed,stop_events,co2_kg
137.37,340.03,van,petrol,98.42,4,41.0
9.14,831.87,van,petrol,67.44,1,5.26
38.59,1284.09,van,petrol,62.4,0,9.41
343.4,695.42,van,petrol,52.63,5,209.41
28.07,719.1,van,petrol,49.66,4,9.76
137.14,923.57,van,petrol,38.19,5,43.11
16.02,1535.93,van,petrol,61.97,1,4.44
72.88,498.85,van,petrol,52.93,2,18.75
112.68,936.6,van,petrol,65.21,2,28.39
32.93,525.47,van,petrol,39.05,0,7.85
79.27,20.88,van,petrol,42.72,2,17.56
55.93,1292.26,van,petrol,49.33,0,17.56
36.26,378.15,van,petrol,49.91,2,9.17
29.79,449.62,van,petrol,40.46,1,8.53
39.96,1286.33,van,petrol,50.27,0,20.25
16.32,905.19,van,petrol,66.21,0,4.45
140.52,564.01,van,petrol,39.97,0,42.08
37.4,496.25,van,petrol,39.04,0,10.57
169.9,1185.8,van,petrol,37.43,3,61.65
189.68,1186.69,van,petrol,46.89,2,67.54
16.4,382.28,van,petrol,42.06,1,6.1
141.98,632.27,van,petrol,60.23,2,55.79
63.04,802.73,van,petrol,65.31,0,30.0
66.54,1499.58,van,petrol,56.29,1,19.96
65.76,1233.21,van,petrol,62.78,0,22.65
38.63,439.02,van,petrol,74.3,1,17.84
219.36,198.15,van,petrol,57.87,0,59.4
303.43,1883.2,van,petrol,49.83,9,126.78
79.64,129.15,van,petrol,67.71,0,22.42
68.5,912.22,van,petrol,61.81,0,21.5
99.34,1354.45,van,petrol,48.27,2,34.32
40.43,912.43,van,petrol,75.69,1,14.38
44.51,364.07,van,petrol,72.98,0,15.25
59.27,122.68,van,petrol,47.87,2,19.26
23.42,1384.08,van,petrol,66.36,0,9.19
103.19,1114.82,van,petrol,57.57,2,32.94
290.09,1065.28,van,petrol,55.23,4,154.34
54.11,3437.34,van,petrol,43.42,0,22.64
133.94,2463.31,van,petrol,91.76,2,52.67
67.96,2013.34,van,petrol,86.45,3,28.77
150.27,1878.45,van,petrol,46.44,5,65.0
56.63,2112.76,van,petrol,39.85,0,20.59
125.12,454.49,van,petrol,69.93,2,51.17
10.02,566.19,van,petrol,39.07,0,4.0
242.53,781.8,van,petrol,67.35,2,81.91
189.22,388.18,van,petrol,32.55,1,59.36
98.09,754.31,van,petrol,85.77,3,31.96
248.47,544.54,van,petrol,47.58,5,163.26
171.91,772.45,van,petrol,47.19,4,54.48
80.21,418.08,van,petrol,37.29,2,23.31
100.81,1143.97,van,petrol,40.52,3,34.57
129.87,1368.48,van,petrol,46.38,3,43.63
91.17,700.29,van,petrol,47.84,3,25.64
121.86,764.33,van,petrol,56.94,5,33.0
121.3,854.29,van,petrol,80.42,4,40.81
74.19,1613.05,van,petrol,73.59,1,24.71
155.36,356.63,van,petrol,64.95,5,47.34
53.9,1221.63,van,petrol,40.67,0,18.54
120.26,282.46,van,petrol,100.0,4,74.76
39.02,619.26,van,petrol,79.48,1,12.01
122.0,523.84,van,petrol,56.31,2,37.78
54.77,127.77,van,petrol,73.64,2,18.86
