date,daily_co2_kg
2023-01-01,1008.59
2023-01-02,1160.32
2023-01-03,1209.2
2023-01-04,1080.92
2023-01-05,947.7
2023-01-06,767.36
2023-01-07,896.96
2023-01-08,1019.55
2023-01-09,1209.72
2023-01-10,1094.28
2023-01-11,1319.97
2023-01-12,929.81
2023-01-13,899.77
2023-01-14,835.34
2023-01-15,1067.92
2023-01-16,1177.06
2023-01-17,1172.81
2023-01-18,1053.26
2023-01-19,923.58
2023-01-20,1130.97
2023-01-21,1250.29
2023-01-22,968.32
2023-01-23,1123.7
2023-01-24,1152.81
2023-01-25,1012.88
2023-01-26,956.58
2023-01-27,885.87
2023-01-28,856.04
2023-01-29,984.23
2023-01-30,1157.13
2023-01-31,1195.68
2023-02-01,1001.9
2023-02-02,1130.48
2023-02-03,886.42
2023-02-04,827.64
2023-02-05,1014.49
2023-02-06,1139.66
2023-02-07,1561.11
2023-02-08,1108.12
2023-02-09,957.6
2023-02-10,974.9
2023-02-11,922.11
2023-02-12,1071.62
2023-02-13,1126.82
2023-02-14,1098.9
2023-02-15,1097.04
2023-02-16,969.8
2023-02-17,835.93
2023-02-18,824.41
2023-02-19,1088.69
2023-02-20,1045.56
2023-02-21,1163.11
2023-02-22,1115.96
2023-02-23,870.51
2023-02-24,901.79
2023-02-25,834.13
2023-02-26,954.64
2023-02-27,1084.63
2023-02-28,1165.12
2023-03-01,1163.22
2023-03-02,980.6
2023-03-03,862.34
2023-03-04,879.96
2023-03-05,1001.58
2023-03-06,1119.69
2023-03-07,1114.08
2023-03-08,1077.7
2023-03-09,971.49
2023-03-10,916.83
2023-03-11,863.54
2023-03-12,942.42
2023-03-13,1186.92
2023-03-14,1127.39
2023-03-15,1121.7
2023-03-16,924.02
2023-03-17,887.88
2023-03-18,915.4
2023-03-19,943.4
2023-03-20,1172.9
2023-03-21,1154.52
2023-03-22,1076.76
2023-03-23,941.77
2023-03-24,1136.21
2023-03-25,976.8
2023-03-26,948.05
2023-03-27,1123.22
2023-03-28,1201.87
2023-03-29,944.75
2023-03-30,1051.79
2023-03-31,869.99
2023-04-01,1022.95
2023-04-02,1049.78
2023-04-03,1169.36
2023-04-04,1140.02
2023-04-05,964.93
2023-04-06,943.6
2023-04-07,872.71
2023-04-08,841.4
2023-04-09,998.96
2023-04-10,1104.23
2023-04-11,1174.74
2023-04-12,1091.2
2023-04-13,1022.36
2023-04-14,901.58
2023-04-15,960.41
2023-04-16,965.37
2023-04-17,1133.63
2023-04-18,1154.8
