temperature,refrigeration_load,inventory_volume,energy_kwh,co2_kg
7.49,0.19,1089.12,954.98,510.36
15.88,0.0,516.43,417.02,201.76
11.62,0.0,645.22,567.2,263.97
18.61,0.0,960.13,569.19,294.12
18.94,0.0,603.14,347.52,170.47
0.89,6.84,390.63,1192.02,586.42
18.49,0.0,750.65,520.96,270.33
14.03,0.0,290.05,297.3,138.94
7.97,0.31,143.35,363.81,178.65
12.65,0.0,687.27,574.97,289.91
-3.07,8.02,1292.09,2035.66,1036.88
14.84,0.0,270.78,287.78,135.48
30.0,0.0,539.44,264.65,134.85
8.24,1.4,559.24,723.24,375.31
4.28,0.73,889.87,773.09,359.46
5.6,3.21,432.36,831.24,418.19
21.37,0.0,497.62,282.1,139.57
27.31,0.0,377.37,182.34,92.05
-6.92,5.62,539.86,1157.37,589.51
-10.77,12.79,541.5,2019.61,976.66
-4.85,4.81,594.49,1070.6,517.41
30.0,0.0,738.01,366.1,196.25
26.28,0.0,251.72,115.48,51.33
5.41,0.83,636.73,896.42,474.97
17.48,0.0,76.46,165.47,75.9
21.51,0.0,538.69,317.26,163.49
6.84,1.12,126.05,448.62,207.62
30.0,0.0,126.58,63.01,29.63
11.04,0.0,343.04,371.9,182.98
19.59,0.0,1031.44,514.43,240.34
7.24,1.06,362.09,566.91,305.49
18.67,0.0,606.58,426.42,211.95
2.69,1.62,59.15,539.09,300.23
5.3,3.51,973.87,1086.33,513.93
-2.41,10.78,1348.04,2273.27,1071.34
19.73,0.0,405.9,235.74,125.19
22.69,0.0,591.72,353.69,185.17
18.92,0.0,508.15,340.35,157.76
19.2,0.0,605.1,370.23,189.91
26.14,0.0,226.13,118.14,61.29
19.38,0.0,373.27,302.74,161.96
4.16,1.6,341.78,664.99,329.54
10.71,0.0,131.25,279.75,142.32
20.92,0.0,587.51,328.38,162.87
9.46,0.21,582.0,426.72,218.28
-10.93,7.55,387.77,1379.95,646.81
4.83,2.0,889.12,869.67,419.67
20.69,0.0,1081.16,630.61,305.55
4.59,0.89,230.16,497.88,240.07
20.54,0.0,1880.71,994.2,521.56
19.0,0.0,169.23,154.95,70.2
10.48,0.0,1067.45,692.56,344.6
12.54,0.0,713.6,545.61,260.44
