temperature,refrigeration_load,inventory_volume,energy_kwh,co2_kg
30.0,0.0,667.77,287.07,144.37
8.32,0.53,258.29,448.07,216.69
3.26,1.53,102.49,524.01,252.35
30.0,0.0,376.46,174.65,87.48
30.0,0.0,368.89,184.67,92.14
20.7,0.0,297.28,204.96,100.92
29.06,0.0,493.95,241.15,120.47
13.52,0.0,267.9,352.16,170.49
18.49,0.0,197.35,213.59,103.82
17.56,0.0,364.52,328.38,160.35
6.08,2.33,217.33,593.9,288.09
2.5,4.81,398.35,960.59,468.04
18.04,0.0,1095.31,748.28,368.58
13.15,0.0,255.36,356.86,172.57
18.7,0.0,468.83,289.68,143.22
30.0,0.0,1787.1,906.93,452.24
10.7,0.0,323.49,363.57,176.58
4.82,4.84,151.98,743.2,361.87
18.05,0.0,191.41,182.07,88.78
-3.15,1.7,1367.81,1140.06,560.41
4.02,2.81,382.46,790.71,384.25
12.17,0.0,805.03,629.86,308.84
3.51,5.38,589.61,1116.22,545.08
20.74,0.0,968.75,481.74,240.45
16.79,0.0,1052.63,642.16,317.66
7.05,1.77,574.99,566.29,278.45
19.15,0.0,80.93,143.09,68.94
30.0,0.0,165.46,75.38,37.79
11.61,0.0,637.12,573.9,280.25
6.56,0.68,359.06,496.87,241.3
23.61,0.0,1247.6,634.33,316.28
25.63,0.0,877.92,473.54,235.47
8.91,0.82,844.74,724.97,355.69
10.1,0.0,533.71,481.0,234.88
16.27,0.0,393.69,346.82,169.46
3.3,3.41,212.83,867.58,419.61
21.77,0.0,422.58,222.74,110.87
20.4,0.0,372.92,239.37,118.18
10.06,0.0,420.52,492.8,239.13
15.89,0.0,1042.79,558.25,277.68
30.0,0.0,1180.68,657.54,326.5
8.85,0.39,450.05,560.56,272.24
30.0,0.0,81.87,50.0,24.73
25.18,0.0,700.11,399.52,198.17
6.85,1.36,500.29,590.72,288.56
5.16,1.96,1169.99,947.14,466.78
11.58,0.0,489.77,498.65,242.73
-4.55,2.02,260.38,805.87,388.85
7.66,0.81,670.83,621.38,304.38
12.63,0.0,515.2,459.13,224.27
28.32,0.0,300.47,117.37,59.36
9.81,0.1,170.87,327.13,157.58
30.0,0.0,745.15,336.8,168.92
6.38,1.79,384.31,723.86,351.05
-3.24,4.72,265.94,1059.39,513.25
11.76,0.0,343.15,295.03,144.26
30.0,0.0,1810.01,1051.17,521.02
11.2,0.0,535.96,440.68,215.76
22.54,0.0,1471.76,830.9,412.34
14.66,0.0,291.88,307.9,149.76
23.96,0.0,76.47,58.49,28.7
-0.14,0.81,721.8,848.1,412.68
-1.21,4.37,354.19,893.97,435.23
12.18,0.0,985.8,633.54,312.76
7.91,0.81,569.91,618.04,301.58
29.05,0.0,518.87,294.26,146.0
7.08,0.23,300.47,504.42,243.54
8.05,0.4,351.68,406.73,198.0
18.54,0.0,251.37,201.07,98.52
2.84,2.09,1288.09,1260.79,617.36
